"Authors","Title","Source Title","Abstract","Publication Year","Early Access Date","DOI","UT (Unique WOS ID)"
"Hartvig, I; Kosawang, C; Rasmussen, H; Kjær, ED; Nielsen, LR","Co-occurring orchid species associated with different low-abundance mycorrhizal fungi from the soil in a high-diversity conservation area in Denmark","ECOLOGY AND EVOLUTION","Plant-fungal interactions are ubiquitous across ecosystems and contribute significantly to plant ecology and evolution. All orchids form obligate symbiotic relationships with specific fungi for germination and early growth, and the distribution of terrestrial orchid species has been linked to occurrence and abundance of specific orchid mycorrhizal fungi (OMF) in the soil. The availability of OMF can therefore be a habitat requirement that is relevant to consider when establishing management and conservation strategies for threatened orchid species, but knowledge on the spatial distribution of OMF in soil is limited. We here studied the mycorrhizal associations of three terrestrial orchid species (Anacamptis pyramidalis, Orchis purpurea and Platanthera chlorantha) found in a local orchid diversity hotspot in eastern Denmark, and investigated the abundance of the identified mycorrhizal fungi in the surrounding soil. We applied ITS metabarcoding to samples of orchid roots, rhizosphere soil and bulk soil collected at three localities, supplemented with standard barcoding of root samples with OMF specific primers, and detected 22 Operational Taxonomic Units (OTUs) putatively identified as OMF. The three orchid species displayed different patterns of OMF associations, supporting the theory that association with specific fungi constitutes part of an orchid's ecological niche allowing co-occurrence of many species in orchid-rich habitats. The identified mycorrhizal partners in the basidiomycete families Tulasnellaceae and Ceratobasidiaceae (Cantharallales) were detected in low abundance in rhizosphere soil, and appeared almost absent from bulk soil at the localities. This finding highlights our limited knowledge of the ecology and trophic mode of OMF outside orchid tissues, as well as challenges in the detection of specific OMF with standard methods. Potential implications for management and conservation strategies are discussed. All orchids establish obligatory symbiotic relationships with specific fungi for germination and early growth, contributing to ecological niche differentiation. This investigation revealed that three co-occurring terrestrial orchid species engaged with distinct fungal partners. The identified fungi were detected at low abundance in the rhizosphere and appeared nearly absent from bulk soil, raising questions on the ecology and trophic mode of orchid mycorrhizal fungi beyond orchid tissues.image","2024",NA,"10.1002/ece3.10863","WOS:001153233100001"
"Soto, DX; Araguás-Araguás, LJ; Han, LF; Wassenaar, LI","Radiocarbon integrity of dissolved inorganic carbon (DIC) samples stored in plastic and glass bottles: implications for reliable groundwater age dating","ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES","Various approaches based on the natural variations of carbon isotopes (C-14 and C-13) in dissolved inorganic carbon (DIC) are routinely used to study groundwater dynamics and to estimate recharge rates by deriving groundwater ages. However, differences in C-14 activities in groundwater samples collected repeatedly from the same wells and discordantly young C-14 groundwater ages compared to noble gases led some authors to question the validity of radiocarbon dating. Poor sampling protocols and storage effects (C-14 contamination) for radiocarbon analysis are a critical factor in explaining age determination discrepancies. We evaluated the impact of storage protocols on carbon isotope exchange with atmospheric carbon dioxide by comparing glass versus standard plastic field sampling bottles for various storage times before radiocarbon and C-13 analyses. The C-14 bias after 12 months in pre-evacuated glass vials was minimal and within analytical precision. However, storage of DIC samples in plastic sampling bottles led to marked changes in C-14 and C-13 contents (up to similar to 15 pmC and similar to 5 parts per thousand, respectively, after 12 months), meaning contamination led to younger groundwater age estimations than it should have been. Protocols for sampling and storing DIC samples for radiocarbon using pre-evacuated glass bottles help avoid atmospheric (CO2)-C-14 contamination and microbial activity.","2024","DEC 2023","10.1080/10256016.2023.2289962","WOS:001124832700001"
"Illarze, G; del Pino, A; Irisarri, P","Differences in Bacterial Communities and Pathogen Indicators of Raw and Lagoon-Stabilized Farm Dairy Effluents","MICROORGANISMS","One practice for handling farm dairy effluent (DE) comprises recycling them to the soil with the challenge of balancing the tradeoff associated with environmental pollution through nutrient and microorganism loading. This study investigated seasonal bacterial community composition, diversity, abundance, and pathogenic indicators in untreated (Raw) and lagoon-stabilized (Lagoon) DE. The correlation between bacterial profiles and DE physicochemical characteristics was also analyzed. Pathogen-indicator bacteria were studied by enumerating viable counts and the bacterial community structure by 16S rRNA gene sequence analysis. Lagoon storage effectively reduced total solids (64%), suspended solids (77%), organic carbon (40%), and total nitrogen (82%), along with total coliforms, Escherichia coli, and enterococci. However, this efficiency was compromised in winter. Lagoon and Raw sample bacterial communities presented different compositions, with several environmental variables correlating to microbial community differences. Lagoon-treated DE exhibited the most diverse bacterial community, dominated by Firmicutes (40%), Proteobacteria (30%), and Bacteroidota (7.6%), whereas raw DE was mainly composed of Firmicutes (76%). Regardless of the season, dominant genera included Trichococcus, Romboutsia, Corynebacterium, and Paeniclostridium. Overall, the study emphasizes the importance of lagoon treatment for DE stabilization, showcasing its role in altering bacterial community composition and mitigating environmental risks associated with pathogens and nutrients, particularly in summer.","2024",NA,"10.3390/microorganisms12020305","WOS:001172237000001"
"Smith, AN; Barton, AD","Effects of dispersal and temperature variability on phytoplankton realized temperature niches","ECOLOGY AND EVOLUTION","Phytoplankton species exhibit fundamental temperature niches that drive observed species distributions linked to realized temperature niches. A recent analysis of field observations of Prochlorococcus showed that for all ecotypes, the realized niche was, on average, colder and wider than the fundamental niche. Using a simple trait-based metacommunity model that resolves fundamental temperature niches for a range of competing phytoplankton, we ask how dispersal and local temperature variability influence species distributions and diversity, and whether these processes help explain the observed discrepancies between fundamental and realized niches for Prochlorococcus. We find that, independently, both dispersal and temperature variability increase realized temperature niche widths and local diversity. The combined effects result in high diversity and realized temperature niches that are consistently wider than fundamental temperature niches. These results have broad implications for understanding the drivers of phytoplankton biogeography as well as for refining species distribution models used to project how climate change impacts phytoplankton distributions. Using a simple trait-based metacommunity model that resolves fundamental temperature niches for a range of competing phytoplankton, we ask how dispersal and local temperature variability influence species distributions and diversity. We find that, independently, both dispersal and temperature variability increase realized temperature niche widths and local diversity but the combined effects result in high diversity and realized temperature niches that are consistently wider than fundamental temperature niches. These results have broad implications for understanding the drivers of phytoplankton biogeography as well as for refining species distribution models used to project how climate change impacts phytoplankton distributions.image","2024",NA,"10.1002/ece3.10882","WOS:001157791400001"
"Orieux, A; Prevel, R; Dumery, M; Lascarrou, JB; Zucman, N; Reizine, F; Fillatre, P; Detollenaere, C; Darreau, C; Antier, N; Saint-Leger, M; Schnell, G; La Combe, B; Guesdon, C; Bruna, F; Guillon, A; Varillon, C; Lesieur, O; Grand, H; Bertrand, B; Siami, S; Oudeville, P; Besnard, C; Persichini, R; Bauduin, P; Thyrault, M; Evrard, M; Schnell, D; Auchabie, J; Auvet, A; Rigaud, JP; Beuret, P; Leclerc, M; Berger, A; Salem, OB; Lorber, J; Stoclin, A; Guisset, O; Bientz, L; Khan, P; Guillotin, V; Lacherade, JC; Boyer, A","Invasive group A streptococcal infections requiring admission to ICU: a nationwide, multicenter, retrospective study (ISTRE study)","CRITICAL CARE","Background Group A Streptococcus is responsible for severe and potentially lethal invasive conditions requiring intensive care unit (ICU) admission, such as streptococcal toxic shock-like syndrome (STSS). A rebound of invasive group A streptococcal (iGAS) infection after COVID-19-associated barrier measures has been observed in children. Several intensivists of French adult ICUs have reported similar bedside impressions without objective data. We aimed to compare the incidence of iGAS infection before and after the COVID-19 pandemic, describe iGAS patients' characteristics, and determine ICU mortality associated factors.Methods We performed a retrospective multicenter cohort study in 37 French ICUs, including all patients admitted for iGAS infections for two periods: two years before period (October 2018 to March 2019 and October 2019 to March 2020) and a one-year after period (October 2022 to March 2023) COVID-19 pandemic. iGAS infection was defined by Group A Streptococcus isolation from a normally sterile site. iGAS infections were identified using the International Classification of Diseases and confirmed with each center's microbiology laboratory databases. The incidence of iGAS infections was expressed in case rate.Results Two hundred and twenty-two patients were admitted to ICU for iGAS infections: 73 before and 149 after COVID-19 pandemic. Their case rate during the period before and after COVID-19 pandemic was 205 and 949/100,000 ICU admissions, respectively (p < 0.001), with more frequent STSS after the COVID-19 pandemic (61% vs. 45%, p = 0.015). iGAS patients (n = 222) had a median SOFA score of 8 (5-13), invasive mechanical ventilation and norepinephrine in 61% and 74% of patients. ICU mortality in iGAS patients was 19% (14% before and 22% after COVID-19 pandemic; p = 0.135). In multivariate analysis, invasive mechanical ventilation (OR = 6.08 (1.71-21.60), p = 0.005), STSS (OR = 5.75 (1.71-19.22), p = 0.005), acute kidney injury (OR = 4.85 (1.05-22.42), p = 0.043), immunosuppression (OR = 4.02 (1.03-15.59), p = 0.044), and diabetes (OR = 3.92 (1.42-10.79), p = 0.008) were significantly associated with ICU mortality.Conclusion The incidence of iGAS infections requiring ICU admission increased by 4 to 5 after the COVID-19 pandemic. After the COVID-19 pandemic, the rate of STSS was higher, with no significant increase in ICU mortality rate.","2024",NA,"10.1186/s13054-023-04774-2","WOS:001138131800005"
"Wang, L; Liu, JR; Bao, Z; Ma, XF; Shen, H; Xie, P; Chen, J","Thermocline stratification favors phytoplankton spatial overlap and species diversity in a subtropical deep reservoir","SCIENCE OF THE TOTAL ENVIRONMENT","Spatial segregation of species along opposing resource gradients is a major research topic in ecology as it enables the coexistence and maintenance of high diversity. Thermocline stratification causes heterogeneous resource distribution, however, the effect of thermocline stratification on phytoplankton dynamic in-depth profiles is still unclear. To understand the underlying mechanism behind the effects of thermocline stratification on phytoplankton species diversity in stratified lakes, the monthly changes in thermocline parameters, deep chlorophyll maxima (DCM) parameters, spatial overlap (SO) among major phytoplankton taxonomic groups, and phytoplankton species diversity were evaluated in Lake Qiandaohu in the Zhejiang Province of China from April 2017 to December 2018. Thermocline depth (TD) was significantly negatively related to thermocline strength (TS). The monthly air temperature was the main driver behind the thermocline and the seasonal thermal-stratification cycle was divided into two stratification stages. Significant linear relationships were observed between the DCM parameters (depth, concentration, and thickness) and TD during the strong stratification period. TD was significantly positively related to phytoplankton species diversity and the SO between Cryptophyta and Chlorophyta as well as between Cryptophyta and Bacillariophyta during weak stratification periods. Significant positive correlations were observed between SO and Shannon diversity during both periods. Structural equation modeling (SEM) showed that air temperature significantly decreased TD and increased species diversity by increasing SO during the strong stratification period. Strong stratification under warming favored the formation of shallower and thinner DCMs, leading to phytoplankton coexistence and maintenance of high species diversity through a preclusion of dominance. This study characterized the temporal dynamics of phytoplankton dynamic in-depth profiles in response to strong stratification from warming.","2024","JAN 2024","10.1016/j.scitotenv.2023.169712","WOS:001154448800001"
"Louchart, A; Lizon, F; Debusschere, E; Mortelmans, J; Rijkeboer, M; Crouvoisier, M; Lebourg, E; Deneudt, K; Schmitt, FG; Artigas, LF","The importance of niches in defining phytoplankton functional beta diversity during a spring bloom","MARINE BIOLOGY","Ecological niches and beta diversity are fundamental concepts providing insight into the structure and functioning of marine ecosystems. Both concepts help in understanding how communities are distributed in different habitats and how marine ecosystems respond to environmental change. Here, the study brings a functional approach to the relationship between phytoplankton ecological niches and beta diversity. Phytoplankton community (from pico- to microphytoplankton) was addressed during a spring bloom of Phaeocystis globosa and diatoms, from the eastern English Channel (EEC) toward the southern North Sea (SNS) in 8 distinct water bodies, from late-April 2017 to mid-May 2017. An automated flow cytometer was used to discriminate phytoplankton by their optical properties at the single-cell level from continuous subsurface pumping marine waters, allowing the characterization of 11 phytoplankton functional groups (PFGs) from pico- to microphytoplankton. The spatial segregation of PFGs was performed from total abundance and Local Contribution to Beta Diversity (LCBD) calculations, from the most abundant to the marginal PFGs, through niche's overlap. Nanoeukaryotes (RedNano) associated with Phaeocystis globosa and picophytoplankton associated with Synechococcus spp. (OraPicoProk) were the less marginal PFGs. However, the low niche overlap between these groups revealed they have contrasting habitat affinity. While nanoeukaryotes prefer estuarine habitats or at the vicinity of an estuary, Synechococcus spp. was more likely along the coasts without freshwater influence. Picoeukaryotes with high chlorophyll-a content (RedPico III), coccolithophores (HsNano), and Pseudo-nitzschia-like (RedMicro I) were highly marginal revealing a patchy distribution. Finally, the beta regression predicted changes in community composition (i.e., LCBD values) influenced positively by temperature and the distance to the coast and negatively by salinity. The overall contribution of the PFGs to these changes (i.e., Species Contribution to Beta Diversity) was positively linked to their niche position and negatively related to their environmental tolerance.","2024",NA,"10.1007/s00227-023-04346-6","WOS:001117608300001"
"Li, Y; Chen, ZM; Wagg, C; Castellano, MJ; Zhang, N; Ding, WX","Soil organic carbon loss decreases biodiversity but stimulates multitrophic interactions that promote belowground metabolism","GLOBAL CHANGE BIOLOGY","Soil organic carbon (SOC) plays an essential role in mediating community structure and metabolic activities of belowground biota. Unraveling the evolution of belowground communities and their feedback mechanisms on SOC dynamics helps embed the ecology of soil microbiome into carbon cycling, which serves to improve biodiversity conservation and carbon management strategy under global change. Here, croplands with a SOC gradient were used to understand how belowground metabolisms and SOC decomposition were linked to the diversity, composition, and co-occurrence networks of belowground communities encompassing archaea, bacteria, fungi, protists, and invertebrates. As SOC decreased, the diversity of prokaryotes and eukaryotes also decreased, but their network complexity showed contrasting patterns: prokaryotes increased due to intensified niche overlap, while that of eukaryotes decreased possibly because of greater dispersal limitation owing to the breakdown of macroaggregates. Despite the decrease in biodiversity and SOC stocks, the belowground metabolic capacity was enhanced as indicated by increased enzyme activity and decreased enzymatic stoichiometric imbalance. This could, in turn, expedite carbon loss through respiration, particularly in the slow-cycling pool. The enhanced belowground metabolic capacity was dominantly driven by greater multitrophic network complexity and particularly negative (competitive and predator-prey) associations, which fostered the stability of the belowground metacommunity. Interestingly, soil abiotic conditions including pH, aeration, and nutrient stocks, exhibited a less significant role. Overall, this study reveals a greater need for soil C resources across multitrophic levels to maintain metabolic functionality as declining SOC results in biodiversity loss. Our researchers highlight the importance of integrating belowground biological processes into models of SOC turnover, to improve agroecosystem functioning and carbon management in face of intensifying anthropogenic land-use and climate change. A conceptual diagram illustrating that the belowground metacommunity strengthens metabolic capacity in response to decreased resource availability by forming a more complex and competitive multitrophic network. Under SOC decline, the belowground biota are stimulated to generate more multitrophic interactions especially negative associations, with the purpose of more efficiently acquiring carbon and energy. Consequently, despite of the decreases in biodiversity and SOC content, the enhanced enzyme activities and reduced enzymatic stoichiometric imbalance accelerate the carbon loss especially in the slow-cycling pool.image","2024",NA,"10.1111/gcb.17101","WOS:001130387500001"
"Zuo, J; Xiao, P; Heino, J; Tan, FJ; Soininen, J; Chen, HH; Yang, J","Eutrophication increases the similarity of cyanobacterial community features in lakes and reservoirs","WATER RESEARCH","Eutrophication of inland waters is a mostly anthropogenic phenomenon impacting aquatic biodiversity worldwide, and might change biotic community structure and ecosystem functions. However, little is known about the patterns of cyanobacterial community variations and changes both on alpha and beta diversity levels in response to eutrophication. Here, we investigated cyanobacterial communities sampled at 140 sites from 59 lakes and reservoirs along a strong eutrophication gradient in eastern China through using CPC-IGS and 16S rRNA gene amplicon sequencing. We found that taxonomic diversity increased, but phylogenetic diversity decreased significantly along the eutrophication gradient. Both niche width and niche overlap of cyanobacteria significantly decreased from low- to high-nutrient waterbodies. Cyanobacterial community distance-decay relationship became weaker from mesotrophic to hypereutrophic waterbodies, while ecological uniqueness (i.e., local contributions to beta diversity) tended to increase in high-nutrient waterbodies. Latitude and longitude were more important in shaping cyanobacterial community structure than other environmental variables. These findings suggest that eutrophication affects alpha and beta diversity of cyanobacterial communities, leading to increasingly similar community structures in lakes and reservoirs with a higher level of eutrophication. Our work highlights how cyanobacterial communities respond to anthropogenic eutrophication and calls for an urgent need to develop conservation and management strategies to control lake eutrophication and protect freshwater biodiversity.","2024","DEC 2023","10.1016/j.watres.2023.120977","WOS:001143649900001"
"Yan, CC; Hao, HT; Sha, SS; Wang, Z; Huang, LL; Kang, ZS; Wang, L; Feng, HZ","Comparative Assessment of Habitat Suitability and Niche Overlap of Three Cytospora Species in China","JOURNAL OF FUNGI","The plant pathogenic fungus Cytospora is notoriously known for causing woody plant canker diseases, resulting in substantial economic losses to biological forests and fruit trees worldwide. Despite their strong negative ecological impact, the existing and prospective distribution patterns of these plant pathogens in China, according to climate change, have received little attention. In this study, we chose three widely dispersed and seriously damaging species, namely, Cytospora chrysosperma, Cytospora mali, and Cytospora nivea, which are the most common species that damage the Juglans regia, Malus domestica, Eucalyptus, Pyrus sinkiangensis, Populus spp., and Salix spp. in China. We utilized ecological niche modeling to forecast their regional distribution in China under four climate change scenarios (present, SSP 126, SSP 370, and SSP 585). The results show that temperature-related climate factors limit the current distribution ranges of the three species. Currently, the three studied species are highly suitable for northeast, northwest, north, and southwest China. Under future climate scenarios, the distribution ranges of the three species are projected to increase, and the centers of the adequate distribution areas of the three species are expected to shift to high-latitude regions. The three species coexist in China, primarily in the northwest and north regions. The ecological niches of C. chrysosperma and C. nivea are more similar. The distribution range of C. mali can reach the warmer and wetter eastern region, whereas C. chrysosperma and C. nivea are primarily found in drought-prone areas with little rainfall. Our findings can help farmers and planners develop methods to avoid the spread of Cytospora spp. and calculate the costs of applying pesticides to reduce contamination and boost yields.","2024",NA,"10.3390/jof10010038","WOS:001151996400001"
